agent_number,season,trend_likelihood,period_start,period_end,p_value,slope,conf_low,conf_high,conf_level,intercept,r_squared,sigma,trend_method,n,note,s,var_s,tau,z,alternative,lat,lon,site
2283,Spring,NA,1960-09-01,2019-11-30,0.26778921091328917,-0.7307974437343677,-2.0109098901257285,0.5493150026569932,0.95,371.76598870056466,0.021129595604812732,87.6144935055933,Linear model,60,NA,NA,NA,NA,NA,NA,-39.0079,174.18382,New Plymouth
2534,Spring,NA,1960-09-01,2019-11-30,0.21348748980662063,0.5909252570158381,-0.32984763316220156,1.5116981471938777,0.95,240.21677966101691,0.026554604707704668,63.020284377398006,Linear model,60,NA,NA,NA,NA,NA,NA,-40.21,176.109,Dannevirke
25354,Spring,NA,1960-09-01,2019-11-30,0.8324115449015628,0.1344818005001387,-1.1055126615136806,1.374476262513958,0.95,315.7683050847458,7.784263516509676e-4,84.86870590575222,Linear model,60,NA,NA,NA,NA,NA,NA,-41.285,174.768,Wellington
2810,Spring,NA,1960-09-01,2019-11-30,0.6770379165229519,-0.2466490691858857,-1.4014433544071778,0.9081452160354065,0.95,212.48112994350288,0.003012365534136541,79.03736635639666,Linear model,60,NA,NA,NA,NA,NA,NA,-38.6586,177.9851,Gisborne
2997,Spring,NA,1960-09-01,2019-11-30,0.5875007338311296,0.26001111419838874,-0.6741984219090272,1.1942206503058048,0.95,147.34632768361575,0.0051043559289465894,63.93992618764285,Linear model,60,NA,NA,NA,NA,NA,NA,-39.49846,176.91189,Napier
3629,Spring,NA,1960-09-01,2019-11-30,0.007880132146117904,1.1137927202000548,0.32071618434058546,1.9068692560595242,0.95,232.955988700565,0.11553825170804678,54.280387005357404,Linear model,60,NA,NA,NA,NA,NA,NA,-39.46249,175.66283,Waiouru
3715,Spring,NA,1960-09-01,2019-11-30,0.0684189034271339,0.6761794943039744,-0.037564695301638196,1.389923683909587,0.95,200.4181920903954,0.056108551970038896,48.850658269232746,Linear model,60,NA,NA,NA,NA,NA,NA,-39.93704,175.04509,Whanganui
37662,Spring,NA,1960-09-01,2019-11-30,0.0579319595503593,0.8488996943595438,-0.011165264574140132,1.7089646532932279,0.95,176.6202259887006,0.06061263307496676,58.865262947256795,Linear model,60,NA,NA,NA,NA,NA,NA,-40.957,175.707,Masterton
3909,Spring,NA,1960-09-01,2019-11-30,0.4898847549026917,-0.8319755487635432,-3.178518465294399,1.5145673677673128,0.95,790.5619209039545,0.008257172911080935,160.60399201691263,Linear model,60,NA,NA,NA,NA,NA,NA,-42.71228,170.98428,Hokitika
3925,Spring,NA,1960-09-01,2019-11-30,0.07511718311015937,-1.9139983328702377,-3.983948575599655,0.15595190985917928,0.95,595.5802824858754,0.0535931590803461,141.67321207583387,Linear model,60,NA,NA,NA,NA,NA,NA,-42.11578,171.86014,Reefton
